input,target
Copy :/tmp/foo from a remote pod to /tmp/bar_dir locally,kubectl cp kube-dns/worker-pod-4::/tmp/foo /tmp/bar_dir
Set deployment scheduler-app-deployment's service account to tiller,kubectl set serviceaccount deployment scheduler-app-deployment tiller
Begin streaming the logs of the nebula-navigator container in pod proxy-service-pod,kubectl logs -f -c nebula-navigator proxy-service-pod
"Update pod 'backend' with the annotation 'monitoring-tool' and the value 'Prometheus' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods backend monitoring-tool=Prometheus
Scale a replica set named 'webapp-replicaset' to 7,kubectl scale --replicas=7 rs/webapp-replicaset
Create a new config map named env-vars from an env file,kubectl create configmap env-vars --from-env-file=path/to/parameters.env
"Listen on port 8080 on localhost and selected IP, forwarding to 3000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/chat-app-pod 8080:3000"
Edit the last-applied-configuration annotations by type/name in YAML,kubectl apply edit-last-applied deployment/nginx
Get output from running the 'postgres' command in rocket-ranger from pod frontend-pod,kubectl exec frontend-pod -c rocket-ranger -- postgres
Set the cluster field in the my-context context to on-prem-cluster,kubectl config set contexts.admin-context.cluster on-prem-cluster
Start a mcr.microsoft.com/dotnet/core/runtime pod and let the container expose port 3001,kubectl run hazelcast --image=mcr.microsoft.com/dotnet/core/runtime --port=3001
"List deployments in YAML output format, in the ""custom-version"" version of the ""api-v2"" API group",kubectl get deployments.custom-version.api-v2 -o yaml
Create a deployment with a command,kubectl create deployment drupal --image=wordpress -- apache2ctl -D FOREGROUND
Update deployment 'api-server-deployment' with a new environment variable,kubectl set env deployment/api-server-deployment DB_HOST=localhost
"List deployments in JSON output format, in the ""v1.1.0"" version of the ""extensions"" API group",kubectl get deployments.v1.1.0.extensions -o json
Start a nginx pod and let the container expose port 8089,kubectl run hazelcast --image=nginx --port=8089
Add a taint with key 'disktype' on nodes having label team=devops,kubectl taint node -l team=devops  disktype=gpu-node-12:PreferNoSchedule
"Create a single ingress called 'public-ingress' that directs requests to website.com/module to svc # svc1:8000 with a tls secret ""my-cert""","kubectl create ingress public-ingress --rule=""website.com/module=svc1:8000,tls=my-cert"""
Set deployment monitoring-stack-deployment's service account to spinnaker,kubectl set serviceaccount deployment monitoring-stack-deployment spinnaker
Set the cluster field in the my-context context to cluster-beta,kubectl config set contexts.service-account-context.cluster cluster-beta
"Auto scale a deployment ""chat-app"", with the number of pods between 4 and 14, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment chat-app --min=4 --max=14
Return snapshot logs from container load-balancer-deployment-1 of a deployment named proxy-service-pod,kubectl logs deployment/load-balancer-deployment -c proxy-service-pod-1
"Delete pods and services with same names ""proxy-server"" and ""security""","kubectl delete pod,service proxy-server security"
Copy /tmp/foo from a remote pod to :/tmp/bar locally,kubectl cp logging/load-balancer-pod-9:/tmp/foo :/tmp/bar
Disable cert checking for the dev cluster entry,kubectl config set-cluster edge-cluster --insecure-skip-tls-verify=true
"Listen on port 8081 locally, forwarding to 6379 in the pod",kubectl port-forward pod/cdn-service-pod 8081:6379
Create a job with a command,kubectl create job log-processing-job --image=mysql -- mysql --version
Create a new ClusterIP service named order-service-clusterip,kubectl create service clusterip order-service-clusterip --tcp=9000:8083
Create a job with a command,kubectl create job log-processing-job --image=ruby -- gem --version
"Listen on port 6379 locally, forwarding to 8888 in the pod",kubectl port-forward pod/analytics-pod 6379:8888
Import environment from a secret,kubectl set env --from=secret/my-secret deployment/frontend-deployment
"Update pod 'vpn' with the annotation 'release-notes' and the value 'https://example.com/release-notes/v2.5.1' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods vpn release-notes='https://example.com/release-notes/v2.5.1'
Add a taint with key 'environment' on nodes having label team=devops,kubectl taint node -l team=devops  environment=dev-node-4:PreferNoSchedule
"Listen on port 5432 on localhost and selected IP, forwarding to 9090 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/e-commerce-pod 5432:9090"
"Listen on port 9090 locally, forwarding to 5000 in the pod",kubectl port-forward pod/frontend-pod 9090:5000
"Listen on port 5432 locally, forwarding to 3000 in the pod",kubectl port-forward pod/backend-pod 5432:3000
Create a new ClusterIP service named api-service-clusterip,kubectl create service clusterip api-service-clusterip --tcp=3001:8080
"List deployments in JSON output format, in the ""custom-version"" version of the ""experimental-apps"" API group",kubectl get deployments.custom-version.experimental-apps -o json
Create a new secret named docker-registry-secret from an env file,kubectl create secret generic docker-registry-secret --from-env-file=path/to/parameters.env
List all configmaps in ps output format with more information (such as node name),kubectl get configmaps -o wide
"Run a proxy to the Kubernetes API server on port 5000, serving static content from ./local/www/",kubectl proxy --port=5000 --www=./local/www/
Set the certificate-authority-data field on the dev-cluster cluster,"kubectl config set clusters.dev-cluster.certificate-authority-data $(echo ""cert_data_here"" | base64 -i -)"
"Listen on port 8088 locally, forwarding to 8888 in the pod",kubectl port-forward pod/log-aggregator-pod 8088:8888
Return snapshot logs from container mydeployment-1 of a deployment named frontend-pod,kubectl logs deployment/mydeployment -c frontend-pod-1
Update pod 'media-stream' by removing a label named 'bar' if it exists # Does not require the --overwrite flag,kubectl label pods media-stream app-
"Delete pods and services with same names ""vpn"" and ""api""","kubectl delete pod,service vpn api"
Set deployment order-processing-deployment's service account to jenkins,kubectl set serviceaccount deployment order-processing-deployment jenkins
Update pod 'database' with the label 'role' and the value 'backend',kubectl label pods database role=backend
Set deployment load-balancer-deployment's service account to metrics-server,kubectl set serviceaccount deployment load-balancer-deployment metrics-server
Set deployment authentication-service-deployment's service account to default,kubectl set serviceaccount deployment authentication-service-deployment default
"Listen on port 8088 on all addresses, forwarding to 8888 in the pod",kubectl port-forward --address 0.0.0.0 pod/cdn-service-pod 8088:8888
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node kube-master-9 -p '{""spec"":{""replicas"":3}'"
"Update a pod identified by type and name in ""parameters.json""",kubectl annotate -f parameters.json contact-email=support@example.com
"Mark node ""web-node-8"" as unschedulable",kubectl cordon web-node-8
"Check to see if I can get the job named ""database-indexing-job"" in namespace ""monitoring""",kubectl auth can-i list jobs.batch/database-indexing-job -n monitoring
"Listen on port 8080 on localhost and selected IP, forwarding to 8081 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/log-aggregator-pod 8080:8081"
List one or more resources by their type and names,kubectl get rc/web service/vpn-service-rc pods/api-service-pod
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node app-node-6 -p '{""spec"":{""type"":""LoadBalancer""}'"
"Start a mcr.microsoft.com/dotnet/core/runtime pod, but overload the spec with a partial set of values parsed from JSON","kubectl run nginx --image=mcr.microsoft.com/dotnet/core/runtime --overrides='{ ""apiVersion"": ""feature-branch-2.3.0"", ""spec"": { ... } }'"
Check the rollout status of a daemonset,kubectl rollout status daemonset/development
Switch to raw terminal mode; sends stdin to 'bash' in quantum-quark from pod web-app-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach web-app-pod -c quantum-quark -i -t
To proxy the entire Kubernetes API at a different root # You can get pods info with 'curl localhost:8001/custom/api/v1/pods',kubectl proxy --api-prefix=/custom/
Set the cluster field in the my-context context to dev-cluster,kubectl config set contexts.staging-context.cluster dev-cluster
Remove from node 'db-node-7' the taint with key 'zone' and effect 'PreferNoSchedule' if one exists,kubectl taint nodes db-node-7 zone:PreferNoSchedule-
Start a alpine pod and let the container expose port 7000,kubectl run hazelcast --image=alpine --port=7000
Start a confluentinc/cp-kafka pod and let the container expose port 3000,kubectl run hazelcast --image=confluentinc/cp-kafka --port=3000
Delete resources from a directory containing kustomization.yaml - e.g. options/kustomization.yaml,kubectl delete -k options/
"Listen on ports 3000 and 6000 locally, forwarding data to/from ports 3000 and 6000 in the pod",kubectl port-forward pod/proxy-server-pod 3000 3000
List one or more resources by their type and names,kubectl get rc/web service/api-service-rc pods/backend-pod
Set deployment monitoring-stack-deployment's service account to metrics-server,kubectl set serviceaccount deployment monitoring-stack-deployment metrics-server
"Auto scale a replication controller ""cdn"", with the number of pods between 1 and 3, target CPU utilization at 60%",kubectl autoscale rc cdn --max=3 --cpu-percent=60
"Listen on port 8081 locally, forwarding to 5000 in the pod",kubectl port-forward pod/log-aggregator-pod 8081:5000
Copy ~/.config/kube local file to /tmp/bar in a remote pod in namespace,kubectl cp ~/.config/kube logging/cache-pod-5:/tmp/bar
"Listen on port 9090 on all addresses, forwarding to 8088 in the pod",kubectl port-forward --address 0.0.0.0 pod/backend-pod 9090:8088
Add a taint with key 'hardware' on nodes having label role=database,kubectl taint node -l role=database  hardware=k8s-node-1:PreferNoSchedule
Create a new ClusterIP service named ldap-service-clusterip,kubectl create service clusterip ldap-service-clusterip --tcp=8443:8010
"Update a pod identified by type and name in ""docker-registry.yaml""",kubectl annotate -f docker-registry.yaml description='Web server for marketing site'
List one or more resources by their type and names,kubectl get rc/web service/backend-rc pods/email-service-pod
"Create a cluster role named ""custom_role"" with ResourceName specified",kubectl create clusterrole custom_role --verb=update --resource=pods --resource-name=backup-service --resource-name=staging-app-server
"Listen on port 8081 on all addresses, forwarding to 5432 in the pod",kubectl port-forward --address 0.0.0.0 pod/chat-app-pod 8081:5432
Start a mongo pod and let the container expose port 3306,kubectl run hazelcast --image=mongo --port=3306
"Listen on ports 8088 and 6000 locally, forwarding data to/from ports 3000 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/analytics-platform-deployment 8088 3000
Set the cluster field in the my-context context to star-cluster,kubectl config set contexts.client-1-context.cluster star-cluster
Set custom TLS server name to use for validation for the cluster-beta cluster entry,kubectl config set-cluster cluster-beta --tls-server-name=sun-cluster
"List deployments in YAML output format, in the ""alpha-2.0"" version of the ""external-apps"" API group",kubectl get deployments.alpha-2.0.external-apps -o yaml
Set deployment proxy-service-deployment's service account to prometheus,kubectl set serviceaccount deployment proxy-service-deployment prometheus
"Listen on port 8088 on all addresses, forwarding to 5432 in the pod",kubectl port-forward --address 0.0.0.0 pod/mypod 8088:5432
Import specific keys from a config map,kubectl set env --keys=LOG_LEVEL --from=configmap/kube-system-config deployment/monitoring-stack-deployment
View the details of daemonset revision 1,kubectl rollout history daemonset/my-deployment --revision=1
Set the cluster field in the my-context context to sun-cluster,kubectl config set contexts.cluster-2-context.cluster sun-cluster
Add a taint with key 'special' on nodes having label role=database,kubectl taint node -l role=database  special=app-node-6:PreferNoSchedule
"Get output from running 'wp' command from the first pod of the deployment backend-microservice-deployment, using the first container by default",kubectl exec deploy/backend-microservice-deployment -- wp
Set deployment notification-handler-deployment's service account to kube-dns,kubectl set serviceaccount deployment notification-handler-deployment kube-dns
Rollback to the previous deployment,kubectl rollout undo deployment/namespace-2
Import specific keys from a config map,kubectl set env --keys=max_connections --from=configmap/app-name-config deployment/web-app-deployment
"Listen on port 8081 on all addresses, forwarding to 8081 in the pod",kubectl port-forward --address 0.0.0.0 pod/e-commerce-pod 8081:8081
Update deployment 'gateway-deployment' with a new environment variable,kubectl set env deployment/gateway-deployment DEBUG=true
Set deployment api-server-deployment's service account to metrics-server,kubectl set serviceaccount deployment api-server-deployment metrics-server
"Create a service for a pod vpn-service-pod, which serves on port 444 with the name ""frontend""",kubectl expose pod vpn-service-pod --port=8888 --name=frontend
Set deployment backend-microservice-deployment's service account to tekton,kubectl set serviceaccount deployment backend-microservice-deployment tekton
Create a new NodePort service named analytics-nodeport,kubectl create service nodeport analytics-nodeport --tcp=8000:8088
Set the cluster field in the my-context context to kube-cluster-2,kubectl config set contexts.admin-context.cluster kube-cluster-2
Start a golang pod and let the container expose port 9091,kubectl run hazelcast --image=golang --port=9091
Update pod 'analytics' with the label 'tier' and the value 'backend',kubectl label pods analytics tier=backend
"List deployments in YAML output format, in the ""alpha-2.0"" version of the ""third-party-apps"" API group",kubectl get deployments.alpha-2.0.third-party-apps -o yaml
Set custom TLS server name to use for validation for the sun-cluster cluster entry,kubectl config set-cluster sun-cluster --tls-server-name=edge-cluster
Add a taint with key 'workload' on nodes having label myLabel,kubectl taint node -l myLabel  workload=worker-node-3:PreferNoSchedule
Start a centos pod and let the container expose port 8010,kubectl run hazelcast --image=centos --port=8010
Add a taint with key 'workload' on nodes having label release=beta,kubectl taint node -l release=beta  workload=app-node-6:PreferNoSchedule
"Check to see if I can get the job named ""content-import-job"" in namespace ""testing""",kubectl auth can-i list jobs.batch/content-import-job -n testing
List one or more resources by their type and names,kubectl get rc/web service/analytics-rc pods/proxy-server-pod
"Listen on port 5000 on localhost and selected IP, forwarding to 9090 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/e-commerce-pod 5000:9090"
Remove from node 'backup-node-14' the taint with key 'app' and effect 'PreferNoSchedule' if one exists,kubectl taint nodes backup-node-14 app:PreferNoSchedule-
Create a job with a command,kubectl create job database-seeding-job --image=ubuntu -- docker run -d ubuntu sleep 3600
"Listen on port 6379 locally, forwarding to 3000 in the pod",kubectl port-forward pod/frontend-pod 6379:3000
"Check to see if I can get the job named ""security-scan-job"" in namespace ""production""",kubectl auth can-i list jobs.batch/security-scan-job -n production
Create a new secret named oauth-secret from an env file,kubectl create secret generic oauth-secret --from-env-file=path/to/data.env
"Listen on port 5432 locally, forwarding to the targetPort of the service's port named ""https"" in a pod selected by the service",kubectl port-forward service/api-service 5432:https
Set custom TLS server name to use for validation for the data-cluster cluster entry,kubectl config set-cluster data-cluster --tls-server-name=web-cluster
Set custom TLS server name to use for validation for the edge-cluster cluster entry,kubectl config set-cluster edge-cluster --tls-server-name=cloud-cluster
Start a ethereum/client-go pod and let the container expose port 7000,kubectl run hazelcast --image=ethereum/client-go --port=7000
Begin streaming the logs of the lunar-launcher container in pod vpn-service-pod,kubectl logs -f -c lunar-launcher vpn-service-pod
Set the cluster field in the my-context context to testing-cluster,kubectl config set contexts.local-context.cluster testing-cluster
Dump current cluster state to /tmp/foo_dir,kubectl cluster-info dump --output-directory=/tmp/foo_dir
Use an alternative editor,"KUBE_EDITOR=""nano"" kubectl edit svc/search-service"
Create a new LoadBalancer service named database-lb,kubectl create service loadbalancer database-lb --tcp=9092:3306
Create a deployment named worker that runs the python image with 2 replicas,kubectl create deployment worker --image=python --replicas=2
"Listen on ports 8080 and 6000 locally, forwarding data to/from ports 8080 and 6000 in the pod",kubectl port-forward pod/security-service-pod 8080 8080
Use an alternative editor,"KUBE_EDITOR=""gedit"" kubectl edit svc/cache-service"
Get the documentation of a specific field of a resource,kubectl explain resource=services.spec.selector
"Listen on port 8080 on all addresses, forwarding to 3000 in the pod",kubectl port-forward --address 0.0.0.0 pod/cdn-service-pod 8080:3000
Delete the sun-cluster cluster,kubectl config delete-cluster sun-cluster
"Scale a resource identified by type and name specified in ""settings.json"" to 7",kubectl scale --replicas=7 -f settings.json
"Listen on port 8081 on all addresses, forwarding to 8088 in the pod",kubectl port-forward --address 0.0.0.0 pod/web-app-pod 8081:8088
Create a deployment named drupal that runs the ubuntu image and expose port 8888,kubectl create deployment drupal --image=ubuntu --port=8888
"Get output from running the 'mysql --version' command from pod api-service-pod, using the first container by default",kubectl exec api-service-pod -- mysql --version
Execute set-last-applied against each configuration file in a directory,kubectl apply set-last-applied -f params/
Display only the most recent 31 lines of output in pod mypod,kubectl logs --tail=31 mypod
"List deployments in YAML output format, in the ""beta-1.0"" version of the ""apps"" API group",kubectl get deployments.beta-1.0.apps -o yaml
"Listen on port 3000 on localhost and selected IP, forwarding to 6379 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/frontend-pod 3000:6379"
Set the cluster field in the my-context context to web-cluster,kubectl config set contexts.admin-context.cluster web-cluster
"Auto scale a deployment ""payment"", with the number of pods between 3 and 9, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment payment --min=3 --max=9
"Create a role binding for developer3, k8s-admin, and qa-engineers using the reader cluster role",kubectl create rolebinding reader --clusterrole=reader --user=developer3 --user=k8s-admin --group=qa-engineers
Edit the service named 'payment-service',kubectl edit svc/payment-service
Edit the deployment 'web-app-deployment' in YAML and save the modified config in its annotation,kubectl edit deployment/web-app-deployment -o yaml --save-config
Import environment from a secret,kubectl set env --from=secret/git-credentials-secret deployment/web-app-deployment
Set deployment notification-handler-deployment's service account to kube-proxy,kubectl set serviceaccount deployment notification-handler-deployment kube-proxy
"Listen on port 5000 on all addresses, forwarding to 8088 in the pod",kubectl port-forward --address 0.0.0.0 pod/e-commerce-pod 5000:8088
Return snapshot logs from pod payment-gateway-pod with only one container,kubectl logs payment-gateway-pod
"Listen on port 3000 locally, forwarding to 8080 in the pod",kubectl port-forward pod/backend-pod 3000:8080
"Create a service for a replication controller identified by type and name specified in ""ubuntu-controller.yaml"", which serves on port 80 and connects to the containers on port 8000",kubectl expose -f ubuntu-controller.yaml --port=3001 --target-port=900000
Create an ingress with two annotations: ingress.annotation1 and ingress.annotations2,"kubectl create ingress annotated --class=default --rule=""site.com/module=svc:port"" \
--annotation ingress.annotation1=site \
--annotation ingress.annotation2=bla"
Import environment from a secret,kubectl set env --from=secret/aws-credentials-secret deployment/monitoring-stack-deployment
Copy /tmp/foo from a remote pod to :/tmp/bar locally,kubectl cp kube-system/security-scanner-pod-18:/tmp/foo :/tmp/bar
Create a job with a command,kubectl create job log-collection --image=mysql -- mysqld
"Listen on port 9090 locally, forwarding to 8080 in the pod",kubectl port-forward pod/frontend-pod 9090:8080
"Auto scale a replication controller ""web"", with the number of pods between 1 and 4, target CPU utilization at 90%",kubectl autoscale rc web --max=4 --cpu-percent=90
Remove from node 'worker-node-3' all the taints with key 'app',kubectl taint nodes worker-node-3 app-
"Listen on ports 3000 and 6000 locally, forwarding data to/from ports 9090 and 6000 in the pod",kubectl port-forward pod/chat-app-pod 3000 9090
"Force replace, delete and then re-create the resource",kubectl replace --force -f ./docker-registry.yaml
Set the resource request and limits for all containers in python,"kubectl set resources deployment python --limits=cpu=200m,memory=512Mi --requests=cpu=10,memory=64Mi"
Disable cert checking for the dev cluster entry,kubectl config set-cluster cluster-gamma --insecure-skip-tls-verify=true
Create a new secret named aws-credentials-secret using a combination of a file and a literal,kubectl create secret generic aws-credentials-secret --from-file=ssh-privatekey=path/to/id_rsa --from-literal=passphrase=topsecret
"Create a single ingress called 'api-v1-ingress' that directs requests to site.com/bar to svc # svc1:5000 with a tls secret ""my-cert""","kubectl create ingress api-v1-ingress --rule=""site.com/bar=svc1:5000,tls=my-cert"""
Import specific keys from a config map,kubectl set env --keys=API_KEY --from=configmap/db-config deployment/analytics-platform-deployment
Import specific keys from a config map,kubectl set env --keys=DATABASE_URL --from=configmap/app-settings deployment/web-app-deployment
"Update pod 'gateway' with the annotation 'env' and the value 'staging', overwriting any existing value",kubectl annotate --overwrite pods gateway env='staging'
"Get output from running the 'geth attach' command from pod auth-service-pod, using the first container by default",kubectl exec auth-service-pod -- geth attach
Begin streaming the logs of the ruby container in pod log-aggregator-pod,kubectl logs -f -c ruby log-aggregator-pod
Update pod 'gateway' with the label 'component' and the value 'web',kubectl label pods gateway component=web
Get the documentation of a specific field of a resource,kubectl explain resource=services.metadata.labels
"Listen on port 8088 on all addresses, forwarding to 6379 in the pod",kubectl port-forward --address 0.0.0.0 pod/e-commerce-pod 8088:6379
Add a taint with key 'datacenter' on nodes having label customer=acme-corp,kubectl taint node -l customer=acme-corp  datacenter=app-node-6:PreferNoSchedule
Set deployment user-management-deployment's service account to metrics-server,kubectl set serviceaccount deployment user-management-deployment metrics-server
"Get output from running 'psql' command from the first pod of the service monitoring-service, using the first container by default",kubectl exec svc/monitoring-service -- psql
Add a taint with key 'hardware' on nodes having label team=devops,kubectl taint node -l team=devops  hardware=edge-node-10:PreferNoSchedule
"Delete pods and services with same names ""backend"" and ""backend""","kubectl delete pod,service backend backend"
Copy :/tmp/foo from a remote pod to /tmp/bar locally,kubectl cp openfaas/ingress-controller-pod-8::/tmp/foo /tmp/bar
"Listen on port 9090 on all addresses, forwarding to 5432 in the pod",kubectl port-forward --address 0.0.0.0 pod/web-app-pod 9090:5432
"Create a single ingress called 'app2-ingress' that directs requests to website.com/module to svc # svc1:9092 with a tls secret ""my-cert""","kubectl create ingress app2-ingress --rule=""website.com/module=svc1:9092,tls=my-cert"""
List one or more resources by their type and names,kubectl get rc/web service/proxy-service-rc pods/gateway-pod
Copy :/tmp/foo local file to /tmp/bar_dir in a remote pod in a specific container,kubectl cp :/tmp/foo file-server-pod-14:/tmp/bar_dir -c load-balancer
Create a new config map named kube-system-config with specified keys instead of file basenames on disk,kubectl create configmap kube-system-config --from-file=properties=/path/to/parameters/file1.txt --from-file=key1=/path/to/parameters/file2.txt
"Listen on port 8000 on all addresses, forwarding to 6379 in the pod",kubectl port-forward --address 0.0.0.0 pod/backend-pod 8000:6379
Create a new config map named app-secrets with specified keys instead of file basenames on disk,kubectl create configmap app-secrets --from-file=properties=/path/to/profiles/file1.txt --from-file=key1=/path/to/parameters/file2.txt
Set deployment monitoring-stack-deployment's service account to kube-proxy,kubectl set serviceaccount deployment monitoring-stack-deployment kube-proxy
Create a new ClusterIP service named cache-service-clusterip,kubectl create service clusterip cache-service-clusterip --tcp=3001:3000
"Listen on port 8000 on all addresses, forwarding to 8080 in the pod",kubectl port-forward --address 0.0.0.0 pod/analytics-pod 8000:8080
"If the deployment named dev-environment-rs's current size is 3, scale mysql to 3",kubectl scale --current-replicas=3 --replicas=3 deployment/dev-environment-rs
List resources from a directory with kustomization.yaml - e.g. parameters/kustomization.yaml,kubectl get -k parameters/
Switch to raw terminal mode; sends stdin to 'bash' in warp-drive from pod e-commerce-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach e-commerce-pod -c warp-drive -i -t
Import specific keys from a config map,kubectl set env --keys=redis_host --from=configmap/global-config deployment/backend-microservice-deployment
Import specific keys from a config map,kubectl set env --keys=API_KEY --from=configmap/app-config deployment/mydeployment
Update deployment 'load-balancer-deployment' with a new environment variable,kubectl set env deployment/load-balancer-deployment SMTP_PASSWORD=your-password
Display only the most recent 53 lines of output in pod monitoring-pod,kubectl logs --tail=53 monitoring-pod
Create a new NodePort service named proxy-service-nodeport,kubectl create service nodeport proxy-service-nodeport --tcp=5000:7000
"List deployments in JSON output format, in the ""v2.1.0"" version of the ""legacy-apps"" API group",kubectl get deployments.v2.1.0.legacy-apps -o json
Create a new LoadBalancer service named frontend-lb,kubectl create service loadbalancer frontend-lb --tcp=8000:8081
"Auto scale a deployment ""frontend"", with the number of pods between 1 and 8, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment frontend --min=1 --max=8
Import environment from a config map with a prefix,kubectl set env --from=configmap/namespace-config --prefix=MYSQL_ deployment/cache-cluster-deployment
Update pod 'monitoring' with the label 'env' and the value 'staging',kubectl label pods monitoring env=staging
Create a new NodePort service named database-nodeport,kubectl create service nodeport database-nodeport --tcp=8088:8010
Update pod 'vpn' with the label 'release' and the value 'v1.0',kubectl label pods vpn release=v1.0
Get output from cosmic-container from pod auth-service-pod,kubectl attach auth-service-pod -c cosmic-container
"Listen on ports 9090 and 6000 locally, forwarding data to/from ports 8000 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/analytics-platform-deployment 9090 8000
"Get output from running 'mongo --version' command from the first pod of the service email-service, using the first container by default",kubectl exec svc/email-service -- mongo --version
"Check to see if I can get the job named ""certificates-renewal-job"" in namespace ""kube-public""",kubectl auth can-i list jobs.batch/certificates-renewal-job -n kube-public
"Output modified deployment in YAML, and does not alter the object on the server",kubectl set env deployment/order-processing-deployment DB_PASSWORD=secretpassword -o yaml
Create a deployment named scheduler that runs the hazelcast image with 6 replicas,kubectl create deployment scheduler --image=hazelcast/hazelcast --replicas=6
"Output modified deployment in YAML, and does not alter the object on the server",kubectl set env deployment/proxy-service-deployment SMTP_HOST=smtp.example.com -o yaml
Set the cluster field in the my-context context to cluster-gamma,kubectl config set contexts.cloud-context.cluster cluster-gamma
"Listen on port 8088 locally, forwarding to 8888 in the pod",kubectl port-forward pod/e-commerce-pod 8088:8888
"Listen on port 8088 locally, forwarding to 5432 in the pod",kubectl port-forward pod/api-service-pod 8088:5432
"Auto scale a replication controller ""monitoring"", with the number of pods between 1 and 5, target CPU utilization at 60%",kubectl autoscale rc monitoring --max=5 --cpu-percent=60
"Listen on port 3000 on localhost and selected IP, forwarding to 3000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/cdn-service-pod 3000:3000"
Switch to raw terminal mode; sends stdin to 'bash' in lunar-launcher from pod e-commerce-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach e-commerce-pod -c lunar-launcher -i -t
Create a new LoadBalancer service named auth-service-lb,kubectl create service loadbalancer auth-service-lb --tcp=9000:8081
Return snapshot logs from container backend-microservice-deployment-1 of a deployment named database-pod,kubectl logs deployment/backend-microservice-deployment -c database-pod-1
Start a jenkins pod and let the container expose port 27017,kubectl run hazelcast --image=jenkins --port=27017
"Partially update a node using a strategic merge patch, specifying the patch as YAML",kubectl patch node edge-node-10 -p $'spec:\n unschedulable: true'
"Create a cluster role named ""foo"" that allows user to perform ""use"", ""proxy"" and ""delete"" on services","kubectl create clusterrole foo --verb=use,proxy,delete --resource=services"
"Auto scale a deployment ""foo"", with the number of pods between 4 and 8, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment foo --min=4 --max=8
Update pod 'chat-app' with the label 'tier' and the value 'backend',kubectl label pods chat-app tier=backend
Roll back to daemonset revision 7,kubectl rollout undo daemonset/namespace-1 --to-revision=7
"Listen on ports 8081 and 6000 locally, forwarding data to/from ports 8888 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/monitoring-stack-deployment 8081 8888
Set the resource request and limits for all containers in elasticsearch,"kubectl set resources deployment elasticsearch --limits=cpu=200m,memory=512Mi --requests=cpu=200m,memory=4Gi"
Import specific keys from a config map,kubectl set env --keys=SMTP_SERVER --from=configmap/app-name-config deployment/order-processing-deployment
Set deployment email-server-deployment's service account to tiller,kubectl set serviceaccount deployment email-server-deployment tiller
Copy /tmp/foo_dir from a remote pod to :/tmp/bar locally,kubectl cp cert-manager/backend-pod-13:/tmp/foo_dir :/tmp/bar
Create a job with a command,kubectl create job testing --image=alpine -- sleep 3600
Create a job with a command,kubectl create job audit-job --image=jenkins -- jenkins-plugin-cli
Add a taint with key 'zone' on nodes having label namespace=mynamespace,kubectl taint node -l namespace=mynamespace  zone=dev-node-4:PreferNoSchedule
Create a new config map named app-secrets from an env file,kubectl create configmap app-secrets --from-env-file=path/to/configurations.env
Display only the most recent 43 lines of output in pod api-service-pod,kubectl logs --tail=43 api-service-pod
"Auto scale a replication controller ""vpn"", with the number of pods between 1 and 8, target CPU utilization at 81%",kubectl autoscale rc vpn --max=8 --cpu-percent=81
Create a new ExternalName service named external-git-service,kubectl create service externalname external-git-service --external-name demo-service.dev
"Listen on ports 6379 and 6000 locally, forwarding data to/from ports 8080 and 6000 in the pod",kubectl port-forward pod/api-service-pod 6379 8080
"Partially update a node using a strategic merge patch, specifying the patch as YAML",kubectl patch node monitoring-node-15 -p $'data:\n key: new-value'
Disable cert checking for the dev cluster entry,kubectl config set-cluster staging-cluster --insecure-skip-tls-verify=true
Start a mongo pod and let the container expose port 7000,kubectl run hazelcast --image=mongo --port=7000
"Set a deployments postgres container cpu limits to ""50m"" and memory to ""64Mi""","kubectl set resources deployment postgres -c=nginx --limits=cpu=50m,memory=64Mi"
Create a deployment named wordpress that runs the amazonlinux image and expose port 9090,kubectl create deployment wordpress --image=amazonlinux --port=9090
"Listen on ports 3000 and 6000 locally, forwarding data to/from ports 6379 and 6000 in the pod",kubectl port-forward pod/analytics-pod 3000 6379
Create a deployment named proxy that runs the jenkins image and expose port 9091,kubectl create deployment proxy --image=jenkins --port=9091
"Listen on port 8081 locally, forwarding to 5000 in the pod",kubectl port-forward pod/web-app-pod 8081:5000
